ISSN,Ejis 2007,EjisCI 2007,Wie 2008,HEC 2011,UQ 2011,ABS 2015,Vhb 2015,Abdc 2016,Ess 2016,Fnege 2016,Cnrs 2017,Den 2017,Hceres 2017
0022-4359,2,2,2,2,1,2,2,1,2,2,3,1,1
0033-362X,2,2,,,1,3,,2,3,,,1,
0091-3367,3,3,,3,2,3,4,2,3,3,4,2,1
0092-0703,1,2,2,2,1,2,2,1,3,2,3,1,1
0093-5301,1,1,1,1,1,1,1,1,1,2,2,1,1
0098-9258,3,3,2,,2,4,6,3,,,,2,
0148-2963,2,2,2,3,2,3,4,2,3,3,3,1,1
0167-8116,1,2,1,1,2,2,2,1,2,2,3,1,1
0195-6663,,,,,,,,,,,,2,1
0263-4503,4,4,,,4,5,8,2,,,,2,
0265-0487,4,4,,4,3,4,6,3,4,4,4,1,2
0265-1335,3,4,,3,2,3,4,2,,3,4,2,1
0265-2323,4,4,,,4,5,8,3,,5,5,2,3
0267-257X,3,3,,4,2,4,6,2,4,4,4,2,2
0273-4753,3,3,,,3,4,8,3,,5,,2,3
0276-1467,4,4,,4,3,4,6,2,,4,5,2,2
0309-0566,3,3,,4,2,3,6,1,4,4,4,2,2
0363-8111,4,4,,,3,,,2,,,,2,
0732-2399,1,1,1,1,1,1,1,1,1,2,2,1,1
0736-3761,4,4,,,3,5,7,3,5,5,5,2,3
0742-6046,3,3,2,3,2,3,4,2,3,3,4,1,1
0743-9156,3,3,,3,2,3,4,2,,4,3,1,2
0885-3134,3,3,,3,3,4,4,3,4,4,5,2,2
0885-8624,4,4,,4,3,4,6,2,,4,4,2,2
0887-6045,3,4,,3,3,4,6,2,,4,4,2,2
0891-1762,4,4,,,4,5,6,4,,,,2,
0896-1530,4,4,,4,4,,,4,,,,2,
0923-0645,2,2,2,2,2,3,4,2,3,3,3,1,1
0950-3293,,,,,,,,,,,,1,1
0954-2892,,,,,3,,,2,4,,4,1,2
0957-4824,,,,,,,,,,,,2,1
0959-0552,4,4,,4,4,4,6,3,,4,4,2,2
0959-3969,4,4,,4,,5,6,3,,,,2,
0960-4529,4,4,,,,5,6,2,,,,2,
0965-254X,3,3,2,4,3,4,6,2,,5,5,2,3
0969-6989,4,4,,4,3,4,6,2,,4,4,2,2
1010-7347,4,4,,,4,,,4,,,,,
1046-669X,4,4,,,4,5,8,4,,,,2,
1049-5142,4,4,,,3,5,6,3,,,,2,
1049-6483,4,4,,4,4,,,4,,,,2,
1051-712X,4,4,,4,3,4,6,3,,5,5,1,3
1057-7408,2,2,2,1,2,1,2,2,2,2,2,2,1
1061-0421,4,4,,4,3,5,6,3,4,5,5,2,3
1061-3846,4,4,,,4,,,,,,,2,
1069-031X,2,2,2,3,2,3,4,2,,4,3,1,1
1069-6679,4,4,,4,3,4,6,3,,5,5,2,3
1070-5511,3,3,,,,,4,2,,,,2,
1094-6705,2,3,2,3,2,2,2,1,3,2,3,1,1
1094-9968,3,3,2,3,3,3,4,2,3,3,4,1,1
1320-1646,4,4,,,3,5,8,3,4,,,2,
1350-231X,4,4,,4,3,4,6,2,,5,5,2,3
1352-2752,4,4,,,4,4,6,3,,5,5,2,3
1352-7266,4,4,,,3,5,,3,,,,2,
1355-5855,3,3,,,3,,,3,,,,2,
1382-3019,4,4,,4,3,,,,,,,,
1470-5931,3,3,,,3,3,6,2,,4,4,1,2
1470-7853,3,3,,4,3,4,8,3,4,4,5,2,2
1472-0817,3,3,2,,3,4,6,3,,,,2,
1474-7979,3,3,,,4,5,6,4,,,,2,
1526-1794,3,3,2,,3,4,,3,,,,,
1533-2667,4,4,,,,5,6,4,,,,2,
1533-2969,4,4,,,3,5,,3,,,,2,
1570-7156,,,,2,3,3,4,2,,4,4,1,2
0001-0782,1,1,2,2,2,4,4,2,4,,,1,
0004-3702,2,1,2,2,,,4,,3,,,1,
0004-5411,2,2,2,,,,4,4,,,,1,
0007-1013,3,3,,,,4,,2,,,,1,
0010-4620,3,3,2,,3,4,,,,,,1,
0018-8670,,,,,2,,6,2,,,,,
0018-9286,2,2,,2,2,,,,,,,1,
0018-9340,1,1,2,,2,,,,3,,,2,
0020-0190,4,4,,,,,,4,4,,,1,
0022-4065,4,2,,,,,,2,,4,3,1,1
0028-3045,,2,,,,,,,,,4,2,2
0095-0033,2,3,,,3,4,,,,,,,
0096-3003,,,,,,,,,,,,2,
0097-5397,1,2,2,,,,2,4,3,,,1,
0098-3500,1,1,,,,,,,,,,1,
0098-5589,1,1,2,,2,,4,,3,3,3,1,1
0144-929X,4,4,,3,,4,,2,,,,1,
0164-1212,4,4,2,,2,4,,3,3,,,2,
0165-5515,4,4,,,,4,,,4,,,1,
0167-6687,1,2,2,3,,3,4,2,3,3,4,1,1
0167-9236,2,2,2,2,1,3,4,1,3,2,3,1,1
0169-023X,1,2,2,2,3,,4,2,3,,,1,
0197-2243,3,3,,,,3,,2,,,,1,
0266-4720,3,3,,,,4,,,,,,2,
0268-3962,2,3,2,2,1,3,2,1,3,2,4,1,1
0268-4012,3,3,,,4,4,6,2,4,4,4,1,2
0276-7783,1,1,1,1,1,1,1,1,1,1,1,1,1
0306-4379,2,2,2,,1,,4,,,,,1,
0306-4573,1,2,2,,,4,,3,,,,1,
0308-5961,,,,,,5,6,,,,5,2,3
0360-0300    ACM Computing Surveys,2,1,2,,,,4,,,,,1,
0362-5915,1,2,2,2,,,4,,3,,,1,
0378-7206,3,3,2,2,1,3,4,1,3,3,3,1,1
0737-0024,3,3,,2,3,5,6,2,,,,1,
0740-817X,1,2,2,2,2,3,2,2,4,,,2,
0742-1222,1,2,2,1,1,2,2,1,2,2,2,1,1
0887-4417,,,,,2,4,,2,3,,,2,
0888-7985,2,3,2,3,2,5,6,2,4,,,2,
0905-0167,,,,3,2,4,6,2,,,,1,
0950-5849,,,,,3,,,2,4,,,1,
0950-7051,,,,,3,,,2,,,,1,
0951-192X,3,3,,4,,4,,3,,,,2,
0957-4174,2,2,,,3,3,,4,3,4,4,2,2
0957-6053,4,4,,,,5,6,3,,5,5,2,3
0959-3845,3,3,,2,2,3,,2,4,4,4,1,2
0960-085X,2,3,2,1,1,3,2,1,3,2,2,1,1
0963-8687,3,3,,2,2,3,2,1,3,3,3,1,1
1019-6781,4,4,,3,2,4,4,2,4,4,4,2,2
1039-7841,4,4,,,3,5,6,,,,,,
1040-1628,,,,4,3,5,8,4,4,,,2,
1041-4347,2,2,2,,2,,,,3,3,3,1,1
1046-8188,2,1,2,2,2,,4,4,,,,1,
1047-7047,1,1,1,1,1,1,1,1,1,2,2,1,1
1049-3301,,,,2,,3,,3,,,,2,
1049-331X,2,2,,,,,,,,,,1,
1050-5164,,,,2,,,,2,2,,,1,
1055-3096,,,,,4,5,,3,5,,,2,
1058-0530,3,3,2,,3,4,6,3,,,,1,
1062-7375,,,,2,3,4,,2,,4,3,2,1
1063-2239,3,3,,,3,,,,,,,,
1063-8016,,,,,2,,,3,4,,,1,
1073-0516,1,2,,,,,4,1,,4,5,1,2
1086-4415,2,2,2,2,2,3,4,2,,3,3,1,1
1091-9392,,,,2,2,5,6,2,,,,2,
1097-198X,,,,,3,4,,3,,,,2,
1350-1917,2,2,2,1,1,3,2,1,3,3,3,1,1
1367-3270,4,4,,,3,4,6,2,,4,5,1,2
1385-951X,,,,,3,,6,3,,,,2,
1386-145X,,,,,,,,4,,,,2,
1386-9620,,,,,,4,2,4,,4,5,2,2
1387-3326,,,,3,3,3,4,2,,4,,2,
1389-5753,4,4,,,4,,6,2,4,,,2,
1443-458X,3,3,,,3,,,4,,,,2,
1470-6067,4,4,,,4,,6,4,,,,2,
1529-3181,,,,3,2,4,6,2,,5,5,1,3
1532-060X,,,,,3,,,4,,,,,
1532-2882,4,4,2,,,3,,1,,,,1,
1536-9323,2,2,2,1,2,2,2,1,3,3,3,1,1
1540-1960,,,,,,4,4,2,,4,,1,2
1541-1672,3,1,,,,,,,,,,1,
1567-4223,,,,,4,4,6,4,4,4,5,2,2
1938-9027,,,,3,3,5,6,3,,,,2,
0825-0383,4,4,,,3,4,,3,4,4,4,2,2
0001-8678,2,2,2,3,,,,2,3,,,1,
0003-1305,4,3,,2,,,,3,4,,,2,
0006-341X,2,2,,,,,,1,,,,1,
0006-3444,1,2,2,1,,2,,1,,,,1,
0011-7315,2,2,2,2,1,3,4,1,3,,3,1,1
0018-9391,3,3,2,1,2,3,4,,3,3,3,2,1
0020-7543,2,2,2,2,3,3,4,2,3,3,3,2,1
0022-3239,2,2,2,,2,3,,2,3,,,2,
0025-1909,1,1,1,1,1,1,1,1,1,1,1,1,1
0025-5610,1,1,2,1,,2,2,,3,,2,1,1
0030-364X,1,1,1,1,1,1,1,2,1,2,2,1,1
0033-5177,3,3,,,3,,,3,,,,2,
0035-9254,3,3,2,2,,3,,2,3,,4,1,
0036-1445,2,1,2,,,,,,,,,1,
0040-1706,2,2,2,,,,,2,,,,1,
0040-5833,,,,3,,4,4,2,3,,3,2,1
0041-1655,2,2,2,,,3,2,2,3,,3,1,1
0047-259X,3,4,2,2,,3,,2,4,,4,2,2
0049-4488,3,3,,,,4,6,2,,,,1,
0090-5364,1,1,2,1,,1,,1,,,,1,
0091-1798,1,1,2,1,,,,1,,,,1,
0092-2102,3,3,2,2,3,4,4,3,4,,,2,
0144-1647,3,3,,,,4,,2,,,4,1,2
0144-3577,2,3,,3,2,2,4,2,,3,3,1,1
0160-5682,3,3,2,3,2,3,4,2,3,4,3,1,1
0167-6377,2,2,2,2,2,4,4,2,3,,3,1,1
0167-6911,2,2,2,3,,,,,,,,2,
0171-6468,2,2,2,3,,3,2,3,3,,4,2,2
0191-2615,1,2,2,,,2,4,1,3,,3,1,1
0254-5330,2,2,2,2,3,3,4,2,3,,3,2,1
0257-0130,3,3,,2,,4,,,,,,2,
0263-5577,4,4,,,,4,6,,,5,5,2,3
0263-7863,4,4,,3,2,4,6,2,4,3,4,2,1
0264-2069,3,3,,,,4,6,3,4,,,2,
0265-671X,3,3,,4,3,4,,3,,4,4,2,2
0272-6963,2,2,2,1,1,1,2,1,2,2,2,1,1
0278-6125,3,3,,,3,5,,3,,4,4,2,2
0305-0483,3,3,2,4,2,3,4,1,3,,3,1,1
0305-0548,3,3,2,,,3,4,2,3,,3,2,1
0360-8352,4,4,,,,4,4,,,4,4,2,2
0363-0129,1,2,2,1,,,,,,,,1,
0364-765X,1,2,2,1,,3,2,2,3,,2,1,1
0377-2217,2,2,2,1,,2,2,1,3,2,2,2,1
0735-3766,2,3,,,3,4,4,2,4,3,3,2,1
0894-069X,3,3,2,2,,3,4,3,3,,4,2,
0895-562X,2,2,,,2,4,,2,,,4,2,2
0895-6308,3,3,,3,3,4,6,2,4,,,2,
0895-7177,3,3,,,,,,,,,,2,
0925-5273,3,3,2,2,2,3,4,1,3,2,2,1,1
0951-8320,,3,,,,3,,2,,,,2,
0953-7287,3,3,,4,2,3,6,3,3,3,3,2,1
0957-4093,3,3,2,3,3,5,6,2,4,4,4,2,2
0960-0035,3,3,2,3,3,4,4,2,4,3,4,2,1
0964-1998,1,1,2,,,3,2,2,2,,,2,
0965-8564,2,2,,,,3,4,1,3,,3,1,1
0966-6923,,,,,,4,,2,,,,1,
0968-090X,1,2,,,,,,2,,,,1,
0969-6016,3,3,2,4,,5,8,3,4,,4,2,2
1040-9602,,4,,,4,,,4,,,,,
1052-6234,2,2,,2,,3,,,,,,1,
1057-9214,,,,,,5,4,3,4,,5,2,3
1059-1478,3,3,2,1,3,2,2,2,2,2,2,1,1
1068-6967,3,3,,,,,,3,,5,5,2,3
1071-5819,3,3,,,2,3,,3,,4,4,1,2
1091-9856,,,2,,,3,2,3,3,,,1,
1092-4604,4,4,,,,5,,3,,,,2,
1094-6136,1,2,,,,3,2,2,3,,4,1,
1359-8546,,,,,2,3,4,2,,3,4,1,1
1361-9209,1,2,,,,3,4,2,3,,4,1,2
1366-5545,2,2,,,,3,4,1,,3,3,1,1
1367-5567,,,,3,4,5,6,3,,4,4,2,2
1368-2148,,,,4,,,,,,4,4,2,2
1369-7412,1,1,,1,,2,2,1,2,,3,1,1
1382-6905,,2,,,,4,4,,,,,2,
1432-2994,3,3,2,,3,5,4,,3,,4,2,2
1463-5771,4,4,,,,5,6,3,,,,2,2
1463-7154,4,4,,,3,4,6,3,,4,4,2,2
1478-3363,4,4,,,3,4,,4,,,5,2,3
1478-4092,,,2,,,4,4,3,,4,4,2,2
1523-2409,3,3,,3,3,3,4,2,,3,4,1,1
1523-4614,,,,1,4,3,2,2,3,3,5,1,1
1524-9050,,,,,2,,,2,,,,1,
1741-038X,,,,4,,5,6,3,,,5,2,3
1757-5818,3,3,2,,3,4,4,2,,4,5,2,2
1936-6582,3,3,,3,3,5,4,4,,4,,2,1
2051-8803,,,,,,,,2,,,,2,
0958-5192,2,2,2,2,2,3,4,2,3,4,4,1,2
0001-8791,2,2,,,1,2,4,1,,3,3,2,1
0002-7642,3,3,,,,5,,3,3,,4,2,2
0003-6870,2,2,,,,4,,,,,,1,
0007-1080,2,2,2,,2,2,4,1,3,3,3,1,1
0018-7259,3,3,,4,,4,,,,,,1,
0018-7267,2,2,2,2,2,2,4,1,3,2,3,1,1
0019-7939,2,2,,2,,3,3,1,3,3,2,2,1
0019-8676,2,2,2,,1,2,,1,3,3,2,1,1
0019-8692,4,4,,,2,3,,2,4,,,2,
0020-7780,3,3,2,3,3,4,,3,,4,4,2,2
0022-0027,2,2,,,1,3,,1,3,,,1,
0022-166X,2,2,2,1,1,3,4,1,,,2,1,1
0022-1856,4,4,,,2,4,6,2,,,,2,
0023-656X,4,4,,,1,4,,2,,5,5,1,3
0031-5826,2,2,2,1,1,2,2,1,2,2,2,2,1
0048-3486,4,4,,4,,4,8,2,4,4,4,2,2
0090-2616,3,3,2,3,3,4,6,2,3,3,3,2,1
0090-4848,2,2,2,2,1,2,4,1,3,2,3,1,1
0098-1818,3,3,,,,,,3,,,5,,3
0142-5455,4,4,,,3,4,4,3,4,4,5,2,2
0143-7720,4,4,,,,4,6,2,4,,4,2,2
0147-1767,4,4,,,,5,,2,,,,2,
0160-449X,3,3,,,3,4,,3,,,,2,
0160-8061,3,3,,,3,4,,3,,4,4,2,2
0167-4544,3,3,2,3,2,3,4,2,2,3,3,1,1
0167-7187,2,2,2,,,3,4,2,3,,2,1,1
0170-8406,2,2,2,2,1,2,2,1,2,2,2,1,1
0191-3085,2,2,2,,,3,4,2,,3,3,2,1
0195-3613,3,3,,,3,4,,3,,,5,2,3
0199-8986,4,4,,,,5,,,,,,,
0262-1711,4,4,,,,5,,4,4,5,5,2,3
0267-8373,3,3,,,2,3,,2,,4,4,1,2
0268-1072,3,3,,,3,3,,2,,,,2,
0268-3946,4,4,2,,,3,4,4,4,4,5,2,2
0309-0590,4,4,,,,5,,4,,,,,
0311-6336,4,4,,,4,5,,3,,,,2,
0361-6843,,,,,,3,,2,,,,2,
0730-8884,2,2,,,2,3,,2,3,4,4,1,2
0742-7301,3,3,,,,5,,,,,,,
0749-5978,1,1,2,1,1,2,2,1,2,2,2,1,1
0889-3268,3,3,,4,,4,4,2,,,4,2,
0889-4019,,,,,3,4,,,,,,1,
0892-7626,4,4,,,3,,6,,,,,2,
0894-3796,2,2,2,1,1,2,2,1,3,2,3,1,1
0894-4865,,,,,,3,4,2,,3,3,2,1
0895-9285,1,2,,,2,3,4,2,,4,,2,2
0950-0170,2,2,2,,2,2,4,2,,4,4,1,2
0954-5395,3,3,2,2,4,2,4,2,,3,4,1,1
0959-6801,2,3,2,,2,3,6,2,,4,4,1,2
0962-8770,4,4,,,3,4,6,3,4,5,5,2,3
0963-1798,2,2,2,2,2,2,4,2,,3,3,1,1
0965-075X,2,2,,,,4,,2,,4,,2,2
0968-6673,4,4,,,,3,4,2,,4,5,1,2
1030-7222,4,4,,,2,,,2,,,,,
1038-4111,3,3,,,3,4,,3,,5,5,2,3
1039-6993,,,,,,5,,4,,,,2,
1044-8004,4,4,,,,4,,3,,,,2,
1046-4964,,,,,3,4,,2,,,,2,
1047-7039,1,1,1,1,1,1,1,1,1,2,2,1,1
1048-9843,2,2,2,1,1,2,2,1,3,2,3,1,1
1052-150X,4,3,,2,2,2,4,2,3,3,3,2,1
1053-4822,4,4,2,3,2,3,4,2,,3,4,2,1
1059-6011,2,2,,2,2,3,4,2,,3,4,1,2
1350-5084,2,2,2,,2,3,4,2,3,3,2,1,1
1352-7606,3,3,,,3,5,6,3,4,5,5,2,3
1359-432X,4,4,,,,3,4,3,4,4,5,2,2
1360-3736,4,4,,,4,5,,4,,,,2,
1362-0436,4,4,,,,4,,3,4,5,,2,
1363-3589,4,4,,,4,5,8,4,,,,2,
1363-6820,,,,,,5,,2,,,,2,
1382-340X,,,,,,5,,2,5,,,2,
1470-5958,4,4,,,3,5,6,3,4,5,5,2,3
1532-3005,,2,,,,4,,2,,,,2,
1742-7150,,,,,,4,8,3,,5,5,2,3
0003-0554,1,1,2,1,,,,1,,,,1,
0007-1234,1,2,,,,,,2,,,,1,
0013-1881,2,3,,,,,,,,,,1,
0018-1560,,,,,,4,6,2,,,,1,
0020-8523,3,3,,,4,3,6,4,,4,4,2,2
0022-0671,3,3,,,,,,,,,,1,
0022-1546,3,3,,,,4,,3,,,,1,
0032-2687,3,3,,,3,,,3,,,,1,
0032-3195,2,2,,,,,,2,,,,2,
0033-3298,1,2,2,,1,2,4,2,,4,4,1,2
0033-3352,1,2,2,,1,2,4,2,,2,2,1,1
0034-3404,2,2,2,,,3,,1,4,,3,1,1
0037-7961,2,2,,,,,,3,,,,2,
0041-0020,3,3,,,,4,,,,,,1,
0042-0980,2,2,2,,,3,,1,3,,3,1,1
0045-3102,3,3,,,,,,,,,,1,
0047-2794,1,2,,,2,3,,2,,,,1,
0048-5829,2,2,2,,,3,,2,,,2,1,1
0095-3997,3,3,,,,4,6,3,,4,3,1,1
0143-814X,4,4,,,,,,3,,,,1,
0144-5596,2,2,,,3,4,,2,,,,1,
0161-8938,3,3,2,,,4,,2,4,,5,2,3
0190-0692,3,3,,,3,4,6,3,,4,4,2,2
0190-292X,3,3,,,3,,,3,,,,1,
0193-841X,3,3,,,,,,,,,,2,
0194-4363,3,3,,,,,,,3,,,2,
0218-5377,3,3,,,,,,3,,,,2,
0263-774X,2,2,2,,,3,,3,,,3,1,
0263-7758,2,2,2,,,2,,2,,,3,1,
0265-8135,2,2,2,,,,,1,,,3,1,
0268-0939,3,3,,,,4,,,,,,1,
0269-0942,3,3,,,,4,,4,,5,,2,
0271-2075,3,3,,,3,4,,2,,4,4,2,2
0275-0740,3,3,,,,,6,3,,5,,2,3
0276-8739,2,2,,,2,3,,2,5,,3,1,1
0300-3930,2,2,,,3,4,,2,,4,4,1,2
0305-5736,3,3,,,,3,,2,,4,3,1,1
0307-5079,,,,,,3,,2,,,,1,
0308-518X,2,2,2,,,2,,1,3,,3,1,1
0313-6647,3,3,,,3,,6,2,,,,2,
0734-9149,3,3,2,,3,,6,2,,,,2,
0743-0167,2,2,,,,3,,,,,,1,
0887-378X,,,,,,3,,3,,3,3,2,1
0891-2424,2,2,,,,,,3,,,3,2,1
0899-7640,2,2,,,,3,4,2,,,4,1,2
0927-5940,,,2,2,,4,4,3,,,3,2,1
0951-3558,3,3,,,3,5,6,3,,4,4,2,2
0951-4848,4,4,,,,5,6,4,,5,5,2,3
0951-5224,,,,,,4,,3,,,,2,
0952-1895,,,,,,3,2,,,4,4,1,2
0954-0962,3,3,,,,4,6,2,,4,4,2,2
0957-8765,3,3,,,,4,4,3,,5,,2,3
0958-9287,2,2,,,,3,,,,,,1,
0965-4313,2,2,,,,4,,,,,5,2,3
0966-0410,2,2,,,,,,,,,,2,
1044-8039,3,3,,,3,,,,,,,,
1048-6682,3,3,,,,5,4,3,,,,2,
1053-1858,3,3,,,2,2,2,2,,2,2,1,1
1061-7639,3,3,,,4,,,4,,,,2,
1098-2140,3,3,,,,,,4,,,,1,
1229-4659,,,,,,,,3,,5,5,2,3
1350-1763,1,2,,,,3,,2,,,,1,
1352-9250,,,2,,,,,,,,,,
1356-3890,4,4,,,,4,,3,,4,4,2,2
0002-9556,2,2,,,,4,,3,3,,,2,
0003-066X,2,1,2,,,,4,1,,,,2,
0004-9530,,,,,3,5,,3,,,,2,
0007-0998,2,2,,,,,,,,,,2,1
0007-1269,3,3,,,2,3,,2,4,,,2,
0010-0285,2,1,2,,,,,2,3,,,1,
0021-8863,3,3,2,3,4,4,4,3,4,4,4,2,2
0021-9010,1,1,2,1,1,2,2,1,1,2,2,1,
0021-9029,3,3,2,,3,4,4,3,4,,,2,
0022-0221,1,1,,2,2,3,6,2,4,,,1,
0022-1031,2,2,,,,2,,2,3,,,2,
0022-2496,3,3,,,,4,,3,,,,1,
0022-3514,1,1,,1,1,2,,1,2,,,1,
0022-4545,2,2,,,4,5,4,3,3,,,2,
0027-3171,2,2,,,,,4,2,3,,,2,
0033-2909,1,1,2,,1,2,,1,,,,1,
0033-2941,4,4,,,,5,,,4,,,2,
0033-295X,1,1,,,,2,,1,,,,1,
0033-3123,1,2,2,2,,3,,,3,,,2,
0046-2772,2,2,,,,3,,2,4,,,1,
0066-4308,1,1,2,,,2,,1,,,,1,
0096-1523,2,2,,,,,,1,3,,,1,
0096-3445,2,1,,,,,,1,2,,,1,
0144-6665,4,4,,,2,3,,2,4,,,2,
0146-1672,1,1,,,1,2,,1,2,,,2,
0146-6216,2,2,,,,4,,3,,,,2,
0191-8869,,2,,,,3,,2,,,,1,
0197-3533,2,3,,,,5,,,4,,,2,
0261-927X,,,,,3,4,,3,,,,2,
0269-994X,2,2,2,,2,3,4,2,,,4,2,
0278-7393,2,2,,,,,,1,3,,,1,
0340-0727,2,2,,,,3,,2,,,,1,
0894-3257,3,3,,,,3,4,2,3,,4,2,2
1076-898X,1,1,,,,2,,2,,,,1,
1082-989X,1,1,,,,,,2,,,,1,
1747-0218,,,,,,3,,2,,,,2,
2327-0616,,,,,,,,1,,,,,
0002-9602,1,1,2,1,,1,,1,1,,,1,
0003-1224,1,1,2,1,,1,,1,2,,,1,
0003-1232,2,2,2,,,,,3,,,,2,
0003-9756,3,3,,,,,,2,,,,2,
0004-5608,2,1,2,,,,,,,,,1,
0007-1315,2,2,,,,3,,2,3,,,1,
0010-4159,3,3,,,,,,2,,,,1,
0012-155X,4,4,,,,3,,3,,,3,1,1
0013-0079,2,2,2,,,3,,2,,,2,1,1
0016-7363,2,2,2,,,,,,4,,,2,
0017-4815,3,3,,,,4,,3,,,4,2,2
0020-8701,4,4,,,,,,3,,,,2,
0022-4537,3,3,,,,,,2,,,,1,
0031-8248,4,4,,,,,2,,,,,1,
0032-3217,3,3,,,,4,,3,,,,1,
0037-7791,3,2,,,,,,2,,,,1,
0037-783X,3,4,,,,,,4,,,,2,
0038-0245,3,3,,,,,,2,,,,2,
0038-0261,2,2,,,,3,,2,,,,1,
0038-0296,4,4,,,,4,,3,3,,,2,
0038-0385,2,2,2,,,2,,1,3,,,1,
0038-4941,4,4,,,,,,3,,,,2,
0039-3606,3,3,,,,,,2,,,,2,
0049-1241,,,,,,,,2,,,,1,
0081-1750,,,,,,3,,2,,,,1,
0092-5853,2,1,2,,,,,1,,,,1,
0094-3061,2,3,,,,,,4,,,,2,
0140-2382,3,3,,,,3,,3,,,,1,
0143-6597,,,,,,4,,2,,,4,2,2
0176-1714,2,2,2,,,3,,2,3,,2,2,1
0277-9536,3,2,,,,2,,,2,2,2,1,1
0304-4130,3,3,,,,,,2,,,,1,
0309-1317,3,3,,,,4,,3,,,5,2,3
0309-1325,2,1,2,,,3,,,,,,1,
0309-8168,,,,,,4,,3,,,,2,
0340-1804,3,3,2,,,,,,,,,1,
0360-0572,3,1,2,,,1,,1,,,,1,
0733-558X,1,2,2,,,3,4,2,4,,,2,
0735-2751,,,,,,,,2,,,,1,
0741-1235,,,,,,,,2,,,,1,
1024-5294,2,3,,,,4,,3,4,4,4,2,2
1475-9551,,4,,,3,4,8,3,,5,5,2,3
0022-2216,,,,,,,,2,,,,2,
0047-2875,2,2,,,,2,,1,3,3,5,2,1
0149-0400,,,,,,4,,2,,,,2,
0160-7383,1,2,,,,2,,1,3,3,4,1,1
0261-5177,3,3,,,,2,,1,3,3,4,1,1
0278-4319,1,3,,,,3,,1,3,,,2,
0959-6119,4,4,,,,3,,2,4,,,2,
0966-9582,4,4,,,,3,,1,,,,2,
1054-8408,,,,,,4,8,2,5,5,5,2,3
1083-5423,,,,,,4,,2,,,,2,
1096-3480,,,,,,4,,2,4,,,2,
1096-3758,,,,,,5,,3,5,,,,
1099-2340,,,,,,4,,2,,,,2,
1479-053X,2,3,,,,4,,3,4,,,,
1936-8623,3,3,,,,5,,2,5,,,2,
